id;name;artist_id;release_date
9fb923ea-8053-4740-b005-c6637c103685;Fine Line;cfd8b073-a303-4886-836a-f249e88be9bc;2019-12-13
70416298-8edb-4c1a-bfdc-2c3305e40576;Hot Pink;d5c3e952-3b32-42ea-8753-ff53105f0dcf;2019-11-07
073492cb-6e2f-4fa5-ae5c-892f509bfee5;folklore;97d06352-3fa6-4d07-b91a-09aa882c2670;2020-07-24
4d1035ba-22b7-4139-baff-c02861e4c6ec;Nectar;eb06a3ec-3a57-415d-9c7a-784cc45b422a;2020-09-25
fe495de9-69c3-4a30-8139-d1b9c8097e63;Caneta Azul;55562955-de9a-4804-b4be-abf3f90473a7;2019-10-24
5573ede4-3006-4ec4-94de-a493243b5f7a;Planet Her;eb06a3ec-3a57-415d-9c7a-784cc45b422a;2021-06-25
f432fb6f-8269-49b5-adcd-1872570ed47f;evermore;d5c3e952-3b32-42ea-8753-ff53105f0dcf;2020-12-11
0782fa34-184f-4f11-9faf-3387547e0bf9;In Tongues;eb06a3ec-3a57-415d-9c7a-784cc45b422a;2017-11-03
f298e7e4-dde4-4987-9fa1-6f8f2a5ddf81;Caneta Azul (Remixes);55562955-de9a-4804-b4be-abf3f90473a7;2020-01-15
9993b2f9-efe1-408a-bd6d-39d56e182531;Ballads 1;eb06a3ec-3a57-415d-9c7a-784cc45b422a;2018-10-26
